               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11335,             0.15469,            0.055628,            0.046429,             0.25231,            0.033837,           0.0085007,            0.091227,             0.14926,            0.054004,            0.070698,           0.0032558,           0.0032558
                   1,            0.080507,              0.1612,            0.052255,            0.052702,             0.41989,            0.055673,            0.016973,            0.080193,             0.12268,            0.051041,            0.040632,           0.0065239,           0.0065239
                   2,             0.07931,             0.15772,            0.051302,            0.054638,             0.70957,            0.071726,            0.020868,            0.074976,             0.11215,            0.050659,            0.010501,            0.009726,            0.009726
                   3,            0.079129,             0.14572,            0.051014,            0.046835,             0.57911,            0.056146,            0.014281,            0.072136,             0.10858,            0.050491,            0.009703,            0.009703,            0.009703
                   4,            0.064186,             0.14794,            0.050768,            0.055857,             0.71221,            0.070174,            0.017359,             0.07536,             0.10835,            0.050311,            0.009703,            0.009703,            0.009703
                   5,            0.054042,             0.15246,            0.050596,            0.091914,             0.56898,             0.14525,            0.043591,            0.055293,             0.12342,            0.049887,            0.009604,            0.009604,            0.009604
                   6,            0.051698,             0.14723,            0.050437,             0.12298,             0.88542,             0.20194,            0.074745,            0.052216,             0.12027,            0.049976,            0.009505,            0.009505,            0.009505
                   7,            0.049451,             0.14293,            0.050362,             0.14495,             0.89731,             0.20443,            0.079307,             0.05537,             0.11049,            0.049887,            0.009406,            0.009406,            0.009406
                   8,            0.049229,             0.13898,            0.050258,             0.15098,             0.84691,             0.23001,            0.080727,            0.054302,             0.11348,            0.049716,            0.009307,            0.009307,            0.009307
                   9,            0.045575,             0.14059,            0.050169,             0.14796,             0.93349,              0.2373,            0.098326,            0.048465,             0.10891,            0.049509,            0.009208,            0.009208,            0.009208
                  10,            0.042919,             0.13686,            0.049964,             0.15523,             0.93463,             0.25396,            0.096465,             0.04994,             0.11611,            0.049265,            0.009109,            0.009109,            0.009109
                  11,            0.041789,             0.13527,            0.049753,              0.1608,             0.87346,             0.26322,            0.099409,            0.047356,             0.11119,            0.049133,             0.00901,             0.00901,             0.00901
                  12,            0.041483,             0.13471,            0.049486,             0.16443,             0.88945,             0.30947,             0.12481,            0.048046,             0.11118,            0.048621,            0.008911,            0.008911,            0.008911
                  13,            0.040674,             0.13365,            0.049175,             0.17446,             0.84555,             0.31584,             0.12902,            0.042861,             0.10924,            0.048285,            0.008812,            0.008812,            0.008812
                  14,            0.041231,             0.13072,            0.048878,             0.31097,             0.69658,             0.32842,             0.12741,            0.049542,             0.10804,            0.047791,            0.008713,            0.008713,            0.008713
                  15,            0.040267,             0.13675,            0.048614,             0.23132,             0.77296,             0.32941,             0.13982,             0.04663,             0.11055,            0.047488,            0.008614,            0.008614,            0.008614
                  16,            0.039457,             0.12874,            0.048432,             0.40909,              0.6291,             0.34022,             0.12477,            0.043447,             0.10813,            0.047098,            0.008515,            0.008515,            0.008515
                  17,            0.039135,             0.12716,            0.048099,              0.4282,             0.62983,             0.38194,             0.16629,            0.046563,             0.10817,            0.046738,            0.008416,            0.008416,            0.008416
                  18,            0.038173,               0.126,            0.047737,             0.43436,             0.60691,             0.37827,             0.15713,            0.050929,             0.11086,            0.046317,            0.008317,            0.008317,            0.008317
                  19,            0.038606,             0.12867,            0.047525,             0.36966,             0.60539,             0.37209,              0.1539,            0.049493,             0.10735,            0.046472,            0.008218,            0.008218,            0.008218
                  20,            0.037725,             0.13085,            0.047083,             0.42935,             0.64583,             0.39866,             0.16048,            0.043997,             0.10757,            0.045526,            0.008119,            0.008119,            0.008119
                  21,            0.037473,              0.1277,            0.046399,             0.41125,             0.63354,             0.41594,             0.16204,            0.041941,             0.10583,            0.044949,             0.00802,             0.00802,             0.00802
                  22,            0.036231,             0.12575,            0.045636,             0.25026,             0.68266,             0.39087,             0.16393,            0.042233,              0.1065,            0.043353,            0.007921,            0.007921,            0.007921
                  23,            0.035525,             0.12243,             0.04464,             0.29194,              0.7225,             0.38728,             0.16455,            0.045483,              0.1109,             0.04231,            0.007822,            0.007822,            0.007822
                  24,            0.036299,             0.12679,            0.043623,             0.26811,             0.76037,             0.38108,             0.16601,            0.047972,             0.10675,            0.041464,            0.007723,            0.007723,            0.007723
                  25,            0.037212,             0.12832,            0.043234,             0.28018,             0.75282,             0.37827,             0.14851,            0.043591,             0.10991,             0.04404,            0.007624,            0.007624,            0.007624
                  26,            0.036077,             0.12159,            0.042457,             0.26818,             0.81189,             0.37152,             0.15096,            0.043816,             0.10815,            0.040509,            0.007525,            0.007525,            0.007525
                  27,            0.036058,             0.12561,            0.042026,             0.35437,             0.82027,             0.46561,             0.20459,            0.043357,             0.11038,             0.03992,            0.007426,            0.007426,            0.007426
                  28,            0.034401,             0.12463,            0.041427,             0.33399,             0.82108,             0.45009,             0.20202,            0.046131,             0.10718,            0.039203,            0.007327,            0.007327,            0.007327
                  29,            0.035458,             0.12125,            0.040876,             0.36489,             0.79395,             0.47961,             0.20969,            0.046299,             0.10792,            0.038864,            0.007228,            0.007228,            0.007228
                  30,            0.034338,             0.12359,            0.040557,              0.3713,             0.80206,             0.48872,             0.21054,            0.042966,             0.10795,            0.038498,            0.007129,            0.007129,            0.007129
                  31,            0.035466,             0.12512,            0.040316,              0.3884,             0.80246,             0.51171,             0.21496,            0.042376,              0.1065,            0.037869,             0.00703,             0.00703,             0.00703
                  32,            0.035423,             0.12335,            0.039651,             0.37768,             0.81882,             0.52771,             0.22934,            0.043941,              0.1087,            0.038211,            0.006931,            0.006931,            0.006931
                  33,            0.034307,             0.12202,            0.039053,             0.39822,             0.79605,             0.51255,             0.20872,            0.042861,             0.10785,            0.037006,            0.006832,            0.006832,            0.006832
                  34,             0.03443,             0.12087,            0.038665,              0.3938,             0.80173,             0.50988,             0.20339,            0.043434,             0.10664,            0.036295,            0.006733,            0.006733,            0.006733
                  35,            0.033472,             0.12178,            0.038006,             0.38552,             0.78059,             0.53005,             0.23052,            0.043982,             0.10871,             0.03541,            0.006634,            0.006634,            0.006634
                  36,            0.034387,             0.11968,            0.037255,             0.39684,             0.80481,             0.55998,             0.25362,            0.044476,             0.10655,            0.034351,            0.006535,            0.006535,            0.006535
                  37,            0.033782,              0.1239,            0.036717,             0.38634,             0.79058,             0.56177,             0.25156,            0.043287,             0.10692,            0.034186,            0.006436,            0.006436,            0.006436
                  38,            0.033692,             0.12071,            0.036024,             0.44034,             0.79233,             0.59282,             0.27147,            0.045939,             0.10851,            0.032858,            0.006337,            0.006337,            0.006337
                  39,            0.033706,             0.11993,            0.035346,             0.47233,             0.78474,             0.62437,             0.27471,            0.044036,              0.1078,            0.032031,            0.006238,            0.006238,            0.006238
                  40,             0.03331,             0.11873,            0.034577,             0.48395,             0.81746,             0.64428,             0.27616,            0.042972,             0.10805,            0.031271,            0.006139,            0.006139,            0.006139
                  41,            0.033635,             0.12114,            0.034012,             0.48827,              0.7775,             0.63783,             0.26734,            0.044002,             0.10705,            0.031241,             0.00604,             0.00604,             0.00604
                  42,            0.033135,             0.11763,            0.033366,             0.50148,             0.81688,             0.66013,             0.29375,            0.045379,             0.10643,            0.030179,            0.005941,            0.005941,            0.005941
                  43,            0.033562,             0.12343,            0.032412,             0.53717,             0.74245,             0.65583,             0.29292,            0.045809,              0.1101,            0.030685,            0.005842,            0.005842,            0.005842
                  44,             0.03224,             0.11854,            0.031562,             0.54996,             0.78457,             0.71197,              0.3171,             0.04329,             0.10642,            0.028755,            0.005743,            0.005743,            0.005743
                  45,            0.033642,             0.12378,            0.030655,             0.62728,             0.74763,             0.72639,             0.33029,            0.045943,             0.10723,            0.027902,            0.005644,            0.005644,            0.005644
                  46,            0.033198,             0.12293,            0.030312,             0.58384,             0.78595,             0.74083,             0.33531,             0.04505,             0.10843,            0.027194,            0.005545,            0.005545,            0.005545
                  47,            0.032823,             0.11801,            0.029129,             0.66887,             0.76452,             0.76274,             0.33655,            0.041399,             0.10498,            0.027576,            0.005446,            0.005446,            0.005446
                  48,            0.032569,             0.11958,            0.028201,             0.70642,             0.76326,             0.77098,             0.33408,            0.042483,             0.10587,            0.026265,            0.005347,            0.005347,            0.005347
                  49,            0.033004,             0.12042,            0.027318,             0.72564,             0.79973,              0.7926,             0.34864,            0.042794,             0.10744,            0.025316,            0.005248,            0.005248,            0.005248
                  50,            0.031495,             0.11783,             0.02685,             0.70243,             0.78796,             0.77782,              0.3276,            0.042641,             0.10708,            0.024538,            0.005149,            0.005149,            0.005149
                  51,            0.032296,             0.11655,            0.026301,             0.78455,             0.76341,             0.80072,             0.35164,            0.043648,              0.1096,             0.02468,             0.00505,             0.00505,             0.00505
                  52,            0.031608,             0.11504,            0.025453,             0.78687,             0.75538,             0.79476,             0.36193,            0.046144,             0.10841,            0.024469,            0.004951,            0.004951,            0.004951
                  53,            0.032918,             0.11785,            0.025115,             0.80804,             0.76117,               0.803,             0.36231,            0.045876,             0.10785,            0.023338,            0.004852,            0.004852,            0.004852
                  54,             0.03246,             0.12029,            0.024615,             0.80117,             0.75999,             0.80183,             0.36403,            0.047131,             0.10915,            0.023146,            0.004753,            0.004753,            0.004753
                  55,            0.031834,             0.11732,            0.023888,             0.80565,              0.8038,             0.83426,             0.37886,            0.043489,             0.10949,            0.022394,            0.004654,            0.004654,            0.004654
                  56,            0.031643,             0.11709,            0.023184,             0.83161,             0.78031,             0.83031,             0.34699,            0.042196,             0.10599,            0.022481,            0.004555,            0.004555,            0.004555
